city,year,month,sales,quantity
Jakarta,2023,1,373.0,958
Jakarta,2023,2,359.5,891
Jakarta,2023,3,315.4,844
Jakarta,2023,4,345.7,886
Jakarta,2023,5,359.9,921
Jakarta,2023,6,364.9,822
Jakarta,2023,7,396.8,927
Jakarta,2023,8,321.0,961
Jakarta,2023,9,399.0,930
Jakarta,2023,10,330.2,791
Jakarta,2023,11,300.5,858
Jakarta,2023,12,328.9,828
Surabaya,2023,1,439.0,697
Surabaya,2023,2,366.3,665
Surabaya,2023,3,379.2,667
Surabaya,2023,4,368.9,537
Surabaya,2023,5,366.6,724
Surabaya,2023,6,432.3,577
Surabaya,2023,7,442.0,723
Surabaya,2023,8,440.7,628
Surabaya,2023,9,440.3,733
Surabaya,2023,10,405.1,723
Surabaya,2023,11,380.6,615
Surabaya,2023,12,402.0,557
Bandung,2023,1,242.3,942
Bandung,2023,2,248.4,1009
Bandung,2023,3,202.9,940
Bandung,2023,4,222.6,1006
Bandung,2023,5,272.6,1036
Bandung,2023,6,251.5,1047
Bandung,2023,7,224.8,1042
Bandung,2023,8,246.5,995
Bandung,2023,9,178.0,1084
Bandung,2023,10,178.6,957
Bandung,2023,11,231.8,1037
Bandung,2023,12,266.2,1056
Medan,2023,1,490.9,1134
Medan,2023,2,409.8,1331
Medan,2023,3,462.5,1193
Medan,2023,4,431.3,1182
Medan,2023,5,436.0,1283
Medan,2023,6,503.4,1249
Medan,2023,7,431.0,1311
Medan,2023,8,445.4,1317
Medan,2023,9,505.3,1170
Medan,2023,10,458.8,1244
Medan,2023,11,423.9,1315
Medan,2023,12,412.8,1244
Makassar,2023,1,564.5,1048
Makassar,2023,2,528.2,1100
Makassar,2023,3,510.8,1062
Makassar,2023,4,533.1,940
Makassar,2023,5,587.0,1030
Makassar,2023,6,560.9,1086
Makassar,2023,7,504.7,1052
Makassar,2023,8,547.5,943
Makassar,2023,9,519.1,1045
Makassar,2023,10,575.1,961
Makassar,2023,11,519.4,1030
Makassar,2023,12,502.7,1041
